Table 4.1: Avg. characteristics of national markets,All markets,Belgium,France,Germany,Italy,UK
Avg. population (million pers.),58105301.8894652,9924668.911335578,55352335.54083885,68467130.96802452,56589807.59743463,56998596.262494564
No. of observations,228823056.0,2673.0,2265.0,2283.0,2027.0,2301.0
Share of total sales,1.0,1.3110566970139582e-07,1.3110566970139582e-07,1.3110566970139582e-07,1.3110566970139582e-07,1.3110566970139582e-07
Avg. price,2631620.43233306,366785.70875420875,62197.2821192053,19903.29741568112,15643420.50320671,7304.904389395915
Avg. price/inc,0.7029227658249986,0.7224900171618623,0.7480647079103679,0.653929613739871,0.9879460692466979,1.047567525311953
Avg. fuel economy (l/100 km),7.624933417034419,8.218836515180696,8.120905073671082,8.240538765259307,8.077372142348297,8.223040706753586
Avg. annual fuel cost/inc,187.8797367123221,203.850085148114,201.95726648232375,199.20182358176845,197.47812485674717,205.64956834713095
Avg. weight (kg),918.6209448535641,975.9981294425739,973.0203090507727,983.0464301357863,978.689689195856,983.9982616253802
